type,product,total_fat_g_per_gram_of_serving,sugars_g_per_gram_of_serving,sodium_g_per_gram_of_serving
cream,Julie's Le-Mond Sandwich Biscuits - Lemon,0.22941176470588234,0.6235294117647059,0.0
cream,Julie's Sandwich Biscuits - Cheese,0.2857142857142857,0.17857142857142858,0.004107142857142857
cream,Julie's Sandwich Biscuits - Peanut Butter,0.26666666666666666,0.2,0.0028333333333333335
cream,Khong Guan Sandwich Biscuits - Banana ,0.3,0.2,0.0028333333333333335
cream,Khong Guan Sandwich Biscuits - Cookies &amp; Cream ,0.2518518518518518,0.27037037037037037,0.0036185185185185187
cream,Khong Guan Sandwich Biscuits - Custard,0.26666666666666666,0.16666666666666666,0.0025
cream,Khong Guan Sandwich Biscuits - Lemon Puff,0.2727272727272727,0.0,0.005318181818181818
cream,Khong Guan Sandwich Biscuits - Orange,0.3225806451612903,0.25806451612903225,0.002741935483870968
cream,Lotus Biscoff Biscuit - Biscoff Cream,0.26,0.34,0.0032500000000000003
cream,Lotus Biscoff Biscuits - Milk Chocolate,0.24,0.4,0.0032500000000000003
cream,Meiji Hello Panda Biscuits - Chocolate,0.28846153846153844,0.0,0.004115384615384615
cream,Meiji Hello Panda Biscuits - Milk ,0.2653846153846154,0.29230769230769227,0.003730769230769231
cream,Meiji Hello Panda Biscuits - Strawberry ,0.2692307692307692,0.0,0.004115384615384615
cream,Munchy's Lexus Sandwich Calcium Crackers - Chocolate,0.2631578947368421,0.21052631578947367,0.003894736842105263
cream,Munchy's Lexus Sandwich Calcium Crackers - Peanut Butter,0.27,0.2,0.00314
cream,Oreo Sandwich Cookies Multipack - Chocolate Creme,0.20689655172413793,0.38620689655172413,0.004344827586206896
cream,Oreo Sandwich Cookies Multipack - Dark &amp; White Chocolate ,0.20689655172413793,0.3793103448275862,0.005172413793103448
cream,Oreo Sandwich Cookies Multipack - Strawberry ,0.20344827586206898,0.38620689655172413,0.004896551724137931
cream,Ritz Sandwich Biscuits Multipack - Chocolate Cream,0.26296296296296295,0.23333333333333334,0.003074074074074074
wafer,Loacker Quadratini Crispy Wafers - Matcha-Green Tea,0.24,0.27,0.0042
wafer,Alor Durian Wafer 21g x 10,0.311,,0.00061
wafer,Beryl's Coconut Rolls Original,,0.30666666666666664,0.00039999999999999996
wafer,Julie's Love Letter Wafer Biscuit Roll - Chocolate,0.13333333333333333,,0.0021666666666666666
wafer,Julie's Love Letter Wafer Biscuit Roll - Strawberry,0.16666666666666666,0.4,0.0021666666666666666
wafer,Lee Lemon Cream Wafers,6.0,9.25,0.01875
wafer,Lee S'bery Wafers Sticks,0.17555555555555558,0.1288888888888889,0.0002666666666666667
wafer,Loacker Classic Mini Crispy Wafers - Assorted,0.051,,
wafer,Loacker Crispy Wafer Bar - Milk,0.28,0.27,0.0040999999999999995
wafer,Loacker Crispy Wafer Bar - Cremkakao,0.26,0.28,0.0031
wafer,Mincher Peanut Flavor Wafer,,0.02725,0.00017749999999999998
wafer,Redondo Cream Wafers - Cappuccino,0.18055555555555555,0.35,0.0022500000000000003
wafer,"Schar Schar Wafers with Lemon Cream, Gluten Free",,0.33,0.0015
wafer,Lee Biscuits Carton - 24 Pack Cheese Cream Wafers Cubes,0.40499999999999997,0.16,0.003925
wafer,Lee Biscuits Carton - 24 Pack Strawberry Cream Wafers Cubes,0.35111111111111115,0.2577777777777778,0.0005333333333333334
wafer,Aladdin Danish Deluxe Waffle Cones,0.069,0.28600000000000003,
wafer,Aladdin Ice Cream Cones,0.0,0.3333333333333333,0.0005833333333333334
wafer,Jules Destrooper Biscuits - Butter Crisps,0.15,0.36,0.0040999999999999995
wafer,Kagi Swiss Chocolate Wafer Minis - Classic,,0.38,0.0024
wafer,Loacker Classic Mini Crispy Wafers - Vanille,0.0,0.17541666666666667,4.1666666666666665e-05
wafer,Loacker Quadratini Crispy Wafers - Chocolate,0.26999999999999996,,
wafer,Loacker Quadratini Crispy Wafers - Napolitaner,0.26999999999999996,,
wafer,Loacker Quadratini Crispy Wafers - Tiramisu,0.29333333333333333,,
wafer,Lee Biscuits Carton - 24 Pack Chocolate Cream Wafers Cubes,0.29666666666666663,0.3411111111111111,0.0005444444444444445
wafer,Lee Biscuits Carton - 24 Pack Lemon Cream Wafers Cubes,0.2833333333333333,0.22999999999999998,0.0006888888888888888
wafer,Kagi Swiss Chocolate Wafer Minis - Dark,,0.272,0.0011200000000000001
